ID;employeeID;firstName;lastName;email;isActive;userRole_ID;managerID_ID;createdAt;modifiedAt;createdBy;modifiedBy
a47ac10b-58cc-4372-a567-0e02b2c3d490;EMP001;John;Smith;john.smith@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d479;2024-01-20T08:00:00Z;2024-01-20T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d491;EMP002;Alice;Brown;alice.brown@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d479;2024-01-20T08:00:00Z;2024-01-20T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d492;EMP003;Robert;Davis;robert.davis@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d480;2024-01-20T08:00:00Z;2024-01-20T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d493;EMP004;Emma;Wilson;emma.wilson@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d481;2024-01-20T08:00:00Z;2024-01-20T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d494;EMP005;James;Miller;james.miller@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d479;2024-01-20T08:00:00Z;2024-01-20T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d495;EMP006;Sophia;Garcia;sophia.garcia@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d482;2024-02-01T08:00:00Z;2024-02-01T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d496;EMP007;William;Martinez;william.martinez@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d481;2024-02-01T08:00:00Z;2024-02-01T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d497;EMP008;Olivia;Lee;olivia.lee@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d480;2024-02-01T08:00:00Z;2024-02-01T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d498;EMP009;Ethan;Thompson;ethan.thompson@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d483;2024-02-05T08:00:00Z;2024-02-05T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d499;EMP010;Ava;White;ava.white@company.com;true;1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d;f47ac10b-58cc-4372-a567-0e02b2c3d484;2024-02-05T08:00:00Z;2024-02-05T08:00:00Z;anonymous;anonymous
f47ac10b-58cc-4372-a567-0e02b2c3d479;EMP011;Sarah;Johnson;sarah.johnson@company.com;true;2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e;;2024-01-15T08:00:00Z;2024-01-15T08:00:00Z;anonymous;anonymous
f47ac10b-58cc-4372-a567-0e02b2c3d480;EMP012;Michael;Chen;michael.chen@company.com;true;2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e;;2024-01-15T08:00:00Z;2024-01-15T08:00:00Z;anonymous;anonymous
f47ac10b-58cc-4372-a567-0e02b2c3d481;EMP013;Emily;Rodriguez;emily.rodriguez@company.com;true;2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e;;2024-01-15T08:00:00Z;2024-01-15T08:00:00Z;anonymous;anonymous
f47ac10b-58cc-4372-a567-0e02b2c3d482;EMP014;David;Williams;david.williams@company.com;true;2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e;;2024-01-15T08:00:00Z;2024-01-15T08:00:00Z;anonymous;anonymous
f47ac10b-58cc-4372-a567-0e02b2c3d483;EMP015;Jessica;Anderson;jessica.anderson@company.com;true;2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e;;2024-01-15T08:00:00Z;2024-01-15T08:00:00Z;anonymous;anonymous
f47ac10b-58cc-4372-a567-0e02b2c3d484;EMP016;Robert;Taylor;robert.taylor@company.com;true;2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e;;2024-02-01T08:00:00Z;2024-02-01T08:00:00Z;anonymous;anonymous
f47ac10b-58cc-4372-a567-0e02b2c3d485;EMP017;Lisa;Martinez;lisa.martinez@company.com;true;2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e;;2024-02-01T08:00:00Z;2024-02-01T08:00:00Z;anonymous;anonymous
a47ac10b-58cc-4372-a567-0e02b2c3d410;EMP018;System;Administrator;admin@company.com;true;3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f;;2024-01-01T08:00:00Z;2024-01-01T08:00:00Z;anonymous;anonymous
